Production Year,Production Date Entered,Operator,County,Field,Active Oil Wells,Inactive Oil Wells,Self-use Well
1997,01/20/1998,"Stuck, Marion",Allegany,RICHBURG,0,4,INACTIVE
1973,09/14/1994,Iroquois Gas Corp.,Chautauqua,,0,0,YES
1987,02/29/1988,"Dutton, Oscar E",Cattaraugus,FIVE MILE,2,2,NO
1997,04/02/1998,Seneca Resources Corporation,Genesee,ROANOKE,0,0,INACTIVE
1998,04/08/1999,"Woolson, Arthur A. and Faith S",Chautauqua,LAKESHORE,0,0,YES
1986,03/31/1987,Meridian Exploration Corp.,Cayuga,WEST AUBURN,0,0,NO
1990,02/14/1991,"Jinks, Jay C. & Joni V.",Livingston,LEICESTER,0,0,YES
1993,03/23/1994,Frontier Central School,Erie,ORCHARD PARK-HAMBURG,0,0,YES
1993,03/25/1994,"Mt. Morris Drilling,  Inc.",Livingston,GROVELAND,0,0,YES
1996,03/18/1997,Belden & Blake Corporation,Cattaraugus,UTLEY BROOK,0,0,NO
1994,01/31/1995,"Lefort, Marian G.",Wyoming,SHELDON,0,0,YES
1992,01/11/1993,"Cady, Merle E.",Chautauqua,LAKESHORE,0,0,
1996,03/25/1997,Lomak Operating Company,Cattaraugus,LAKESHORE,0,0,NO
1979,06/29/1994,C & R Oil & Gas Corp.,Cattaraugus,FIVE MILE,43,0,NO
1976,08/25/1994,"Paragon Resources, Inc.",Chautauqua,LAKESHORE,0,0,NO
1985,07/15/1987,"Bottoms, Ruth A",Allegany,,2,0,YES
1998,04/01/1999,"Trahan Petroleum, Inc.",Chautauqua,LAKESHORE,0,0,NO
1982,05/26/1994,"20 Bliss Street, Inc.",Chautauqua,LAKESHORE,0,0,NO
1985,01/21/1986,"Gabel, Elizabeth A.",Chemung,VAN ETTEN,0,0,YES
1970,09/29/1994,Rochester Gas & Electric Corp.,Monroe,CHURCHVILLE,0,0,NO
1994,04/11/1995,Fault Line Oil Corporation,Erie,CHAFFEE-ARCADE,0,0,NO
1989,03/29/1990,Frontier Central School,Erie,ORCHARD PARK-HAMBURG,0,0,YES
1995,04/04/1996,"Frey Well Drilling, Inc.",Erie,ELMA,0,0,INACTIVE
1991,02/21/1992,New York Energy,Chautauqua,LAKESHORE,0,0,NO
1986,03/27/1987,"Templeton Energy,  Inc.",Erie,COWLESVILLE,0,0,NO
1990,04/01/1991,Oilmark & Co.,Chautauqua,LAKESHORE,0,0,NO
1990,03/21/1991,CNG Transmission Corp.,Allegany,STATE LINE,0,0,NO
1998,02/08/1999,T.M. Quaintance Crude Oil Production,Allegany,FORD'S BROOK,61,5,NO
1987,04/13/1988,National Fuel Gas Supply Corp.,Erie,ALDEN-LANCASTER,0,0,YES
1986,04/10/1987,"P & S Drilling, Inc.",Cattaraugus,FIVE MILE,3,0,NO
1982,05/20/1994,"Ebenezer Oil Co., Inc.",Allegany,RICHBURG,4,0,NO
1991,03/31/1992,R & C Oil Co.,Cattaraugus,CHIPMUNK,33,0,NO
1997,02/12/1998,"Howard, Terry",Chautauqua,LAKESHORE,0,0,YES
1987,04/19/1988,U S Energy Development Corp.,Cattaraugus,FIVE MILE,6,0,NO
1984,01/17/1985,"Gabel, Elizabeth A.",Chemung,VAN ETTEN,0,0,YES
1996,03/21/1997,"Sturdevant, Walter B.",Allegany,FULMER VALLEY,0,14,INACTIVE
1994,03/20/1995,"Tony's, Inc.",Chautauqua,LAKESHORE,0,0,YES
1999,04/12/2000,"REI-NY, LLC",Chautauqua,GERRY-CHARLOTTE,4,4,NO
1967,10/07/1994,W.C. Partee,Wyoming,LEICESTER,0,0,NO
1970,09/29/1994,Martiny & Guise,Cattaraugus,BRADFORD,1,0,NO
1986,02/25/1987,"Gas & Gas, Inc.",Erie,LAKEVIEW,0,0,NO
1989,02/14/1990,"Haught, Ralph",Allegany,FULMER VALLEY,165,0,NO
1983,05/22/1984,H. L. Murry Drilling Co.,Cattaraugus,RED HOUSE,5,0,NO
1981,06/23/1994,"Bunnell, Herbert F.",Allegany,FULMER VALLEY,17,9,NO
1994,03/21/1995,Estate of Donald O. Lewis,Erie,GLENWOOD,0,0,INACTIVE
1986,06/19/1987,"Diate, Sam B",Chautauqua,LAKESHORE,0,0,YES
1975,08/30/1994,Mountain Oil Co.,Allegany,RICHBURG,6,0,NO
1995,03/29/1996,"Copper Ridge Oil, Inc.",Cattaraugus,BRADFORD,11,0,NO
1986,03/11/1987,"Flint, Estate of Roy A",Erie,ALDEN-LANCASTER,0,0,NO
1989,04/13/1990,Benson Oil Co.,Allegany,CERES,0,1,INACTIVE
1988,10/25/1990,"Westmin Resources,  Inc.",Livingston,SPARTA,0,0,INACTIVE
1995,01/26/1996,"Iantorno, Rubens",Allegany,RICHBURG,2,0,NO
1995,01/26/1996,Perry Central Schools,Wyoming,SILVER LAKE,0,0,INACTIVE
1994,01/18/1995,"Aldinger, Gerald F. & Naomi R.",Erie,ALDEN-LANCASTER,0,0,YES
1994,03/10/1995,"Country Side Sand & Gravel, Inc",Cattaraugus,LAKESHORE,0,0,YES
1983,03/05/1984,"Templeton Energy,  Inc.",Chautauqua,LAKESHORE,0,0,NO
1980,06/13/1994,"Dudar, John",Allegany,,10,0,NO
1990,04/10/1991,"Jennings, Earl",Allegany,RICHBURG,2,7,NO
1994,03/10/1995,Cabot Oil & Gas Corp.,Chautauqua,LAKESHORE,0,0,NO
1999,03/31/2000,"North Harmony Ventures, Inc.",Chautauqua,LAKESHORE,0,0,NO
1984,04/03/1985,"S & M Resources,  Inc.",Chautauqua,LAKESHORE,3,2,NO
1972,09/29/1994,Iroquois Gas Corp.,Chautauqua,,0,0,INACTIVE
1985,02/28/1986,"Templeton Energy,  Inc.",Chautauqua,LAKESHORE,0,0,NO
1997,12/29/1997,"Fitzgerald, Thomas J.",Allegany,RICHBURG,5,0,NO
1983,04/23/1984,"Tellinghuisen, George",Chautauqua,BUSTI,9,3,NO
1988,03/31/1989,TGX Corp.,Chautauqua,LAKESHORE,0,0,NO
1996,02/07/1997,Pennsylvania General Energy,Cattaraugus,BRADFORD,1,0,NO
1981,06/08/1994,"Templeton Energy,  Inc.",Erie,LAKESHORE,0,0,NO
1984,04/11/1985,Columbia Gas Transmission Corp.,Chautauqua,LAKESHORE,0,0,YES
1996,03/06/1997,"Reserve Gas Company, Inc.",Erie,ALDEN-LANCASTER,0,0,NO
1996,04/01/1997,Morris Oil Co.,Cattaraugus,BRADFORD,1,0,NO
1998,06/07/1999,D & D Oil,Allegany,BROWNING,447,17,NO
1980,06/27/1994,Marmik Oil Co.,Erie,BRANT-EDEN,0,0,NO
1987,04/22/1988,Byron-Bergen Central School,Genesee,BERGEN,0,0,YES
1991,03/27/1992,"Local Energy, Inc.",Chautauqua,LAKESHORE,0,0,NO
1999,02/10/2000,"St Columbans On The Lake, Inc.",Chautauqua,LAKESHORE,0,0,YES
1992,06/10/1993,Permclip Products Corporation,Erie,BUFFALO,0,0,INACTIVE
1992,06/11/1993,"Rice, Charles H.",Genesee,INDIAN FALLS,0,0,INACTIVE
1995,03/12/1996,Panama Central School District,Chautauqua,LAKESHORE,0,0,YES
1988,03/13/1989,"Henry W. Agle and Sons, Inc.",Erie,BRANT-EDEN,0,0,YES
1984,04/04/1985,"Park-Ohio Energy,  Inc.",Chautauqua,LAKESHORE,1,0,NO
1974,09/08/1994,National Fuel Gas Supply Corp.,Erie,,0,0,YES
1995,03/27/1996,Seneca Resources Corporation,Erie,NORTH COLLINS,0,0,YES
1985,05/23/1986,National Fuel Gas Supply Corp.,Chautauqua,LAKESHORE,0,0,NO
1996,04/01/1997,"Nornew, Inc.",Chautauqua,LAKESHORE,0,0,NO
1986,03/18/1987,"Empire Exploration, Inc.",Chautauqua,LAKESHORE,0,0,NO
1996,04/04/1997,"Smith, Ronald L.",Allegany,RICHBURG,0,1,
1999,03/24/2000,"Subsea Oil & Gas, Inc.",Erie,ALDEN-LANCASTER,0,0,NO
1992,04/22/1993,"Engx, Inc.",Chautauqua,LAKESHORE,0,0,YES
1993,04/12/1994,"GFS Energy, Inc.",Chautauqua,LAKESHORE,0,0,NO
1993,03/18/1994,"Vandermark Exploration, Inc.",Steuben,UNNAMED,0,0,INACTIVE
1995,03/05/1996,"Campfield, Arthur",Cattaraugus,BRADFORD,27,0,NO
1998,03/09/1999,"Eastern States Energy, Inc.",Erie,BRANT-EDEN,0,0,NO
1996,03/28/1997,Seneca Resources Corporation,Erie,ORCHARD PARK-HAMBURG,0,0,NO
1972,09/20/1994,Kinley Oil & Gas Corp.,Cattaraugus,BRADFORD,103,0,NO
1983,04/23/1984,Williams Brothers Oil Co.,Cattaraugus,BRADFORD,54,0,NO
1985,02/12/1986,Shanley Montara Petroleum Co.,Wyoming,JAVA,0,0,NO
1996,04/03/1997,"Hoitink, Beverly",Chautauqua,LAKESHORE,0,0,YES
1995,04/04/1996,Belden & Blake Corporation,Chautauqua,LAKESHORE,0,0,YES
1977,08/18/1994,Villafrank & Price,Chautauqua,LAKESHORE,0,0,INACTIVE
1988,04/07/1989,"Johnson, Carl R",Chautauqua,BUSTI,4,1,NO
1996,03/26/1997,Seneca Resources Corporation,Cattaraugus,DAYTON,0,0,NO
1986,01/09/1987,"Slater, Patricia A.",Erie,ALDEN-LANCASTER,0,0,INACTIVE
1988,03/30/1989,Clover Oil & Gas Co.,Genesee,ALDEN-LANCASTER,0,0,NO
1983,03/05/1984,"Guzzetta, Joseph & Carlyn",Cattaraugus,,0,0,YES
1989,04/09/1990,Piarist Fathers,Erie,LAKEVIEW,0,0,YES
1987,03/21/1988,"Texas Brine Company, LLC",Cattaraugus,BRADFORD,1,0,
1983,02/01/1984,"Tony's, Inc.",Chautauqua,LAKESHORE,0,0,YES
1994,03/23/1995,"Torrey, Richard",Cattaraugus,BRADFORD,0,0,INACTIVE
1993,03/18/1994,CNG Transmission Corp.,Seneca,GENEVA,0,0,INACTIVE
1990,03/21/1991,"Taylor, Gilbert M",Allegany,RICHBURG,6,20,NO
1983,04/10/1984,"Pinney, Dewey H",Allegany,ALMA,20,3,NO
1993,02/03/1994,"Meeder, William H",Wyoming,WYOMING,0,0,INACTIVE
1999,03/27/2000,"F & G Exploration, LLC",Cayuga,WEST AUBURN,0,0,NO
1971,09/23/1994,Universal Major Ind. Corp.,Wyoming,WYOMING,1,0,NO
1988,04/06/1989,"Bounty Holdings, Incorporated",Chautauqua,LAKESHORE,0,0,NO
1987,04/22/1988,Sisters of Mercy - Buffalo,Erie,ORCHARD PARK-HAMBURG,0,0,YES
1992,04/27/1993,"Spur Petroleum, Inc.",Erie,BRANT-EDEN,0,0,NO
1998,04/06/1999,"Pan Energy Company, Inc.",Chautauqua,LAKESHORE,0,0,NO
1984,04/03/1985,Anderson Oil Co.,Steuben,THOMAS CORNERS,0,0,NO
1987,04/22/1988,"Eclipse Management Assoc., Inc",Chautauqua,LAKESHORE,0,0,NO
1983,04/10/1984,Vosburg Oil Co.,Allegany,RICHBURG,45,0,NO
1996,03/10/1997,Lomak Operating Company,Chautauqua,LAKESHORE,0,0,NO
1977,08/18/1994,National Fuel Gas Supply Corp.,Chautauqua,LAKESHORE,0,0,YES
1989,03/16/1990,A & F Oil Co.,Allegany,RICHBURG,25,18,NO
1985,04/07/1986,Frank H. Stephan Oil Group,Cattaraugus,BRADFORD,20,0,NO
1999,04/04/2000,Chautauqua Lake Central School District,Chautauqua,LAKESHORE,0,0,YES
1998,03/22/1999,Seneca Resources Corporation,Cattaraugus,DAYTON,0,0,INACTIVE
1989,03/12/1990,"Local Energy, Inc.",Erie,ORCHARD PARK-HAMBURG,0,0,NO
1979,06/29/1994,"Allen, Lillian B",Allegany,RICHBURG,1,0,NO
1989,03/29/1990,"Envirogas, Inc.",Chautauqua,LAKESHORE,0,0,NO
1986,04/10/1987,Kellner Oil,Cattaraugus,BRADFORD,26,0,NO
1987,05/26/1988,"Empire Exploration, Inc.",Cattaraugus,DAYTON,0,0,NO
1981,06/06/1994,"Trahan Petroleum, Inc.",Chautauqua,LAKESHORE,0,0,NO
1993,03/31/1994,National Fuel Gas Supply Corp.,Genesee,PAVILION,0,0,NO
1983,02/03/1984,"Wojcik, Anthony",Erie,ALDEN-LANCASTER,0,1,YES
1993,02/03/1994,"Dunn, Walter J. & Elixabeth Irrevocable Trust",Cayuga,WEST AUBURN,0,0,YES
1976,08/25/1994,Gailbert Exploration,Chautauqua,LAKESHORE,0,0,INACTIVE
1984,01/18/1985,Cheektowaga-Maryvale Union Free School District,Erie,BUFFALO,0,0,YES
1999,04/13/2000,"Sescil, Robert J.",Erie,ALDEN-LANCASTER,0,0,YES
1989,04/10/1990,Cliffstar Corp.,Chautauqua,LAKESHORE,0,0,YES
1990,04/12/1991,Wells College,Cayuga,UNNAMED,0,0,
1970,09/30/1994,Iroquois Gas Corp.,Allegany,BEECH HILL-INDEPENDENCE,0,0,NO
1994,02/22/1995,Bemus Point Central School District,Chautauqua,LAKESHORE,0,0,YES
1985,05/23/1986,"Cooper, Elton C",Allegany,ANDOVER,0,16,INACTIVE
1989,04/12/1990,"Chautauqua Energy, Inc.",Chautauqua,LAKESHORE,0,0,NO
1996,03/18/1997,"Parmelee, Terrence G. E.",Chautauqua,LAKESHORE,0,0,YES
1996,04/08/1997,L. W. Resources,Erie,BRANT-EDEN,0,0,NO
1973,09/15/1994,"Allen, Lillian B",Allegany,FULMER VALLEY,1,1,NO
1988,03/13/1989,"Stiegler, Richard M",Erie,BUFFALO,0,0,YES
1999,04/13/2000,United States Gypsum Co.,Genesee,HURON CREEK,0,0,NO
1977,08/12/1994,Wasson/Regis Oil Company,Allegany,RICHBURG,23,14,NO
1985,01/21/1986,Joyce - Tullar Oil Co.,Allegany,FULMER VALLEY,2,0,NO
1992,01/21/1994,"Derti, Nazmi",Livingston,SPARTA,0,0,INACTIVE
1985,03/28/1986,Francis Root Oil Company,Allegany,RICHBURG,18,16,NO
1987,02/29/1988,Gypsum Energy Management Co.,Genesee,HURON CREEK,0,0,YES
1989,03/29/1990,"Universal Resources Holdings, Incorporated",Chautauqua,LAKESHORE,0,0,NO
1984,04/02/1985,"R. W. Taylor & Sons, Inc.",Wyoming,,0,0,INACTIVE
1995,04/04/1996,Belden & Blake Corporation,Chautauqua,LAKESHORE,0,0,YES
1998,01/12/1999,Maple Oil Co.,Allegany,RICHBURG,9,0,NO
1996,03/14/1997,"Cordova Resources, Inc.",Cattaraugus,BRADFORD,53,3,NO
1978,07/14/1994,"J C Weil Co., Inc.",Erie,ALDEN-LANCASTER,0,0,INACTIVE
1984,01/18/1985,"Clark, Donald C",Wyoming,SILVER LAKE,0,0,YES
1983,04/10/1984,"Trahan Petroleum, Inc.",Chautauqua,LAKESHORE,0,0,NO
1994,03/21/1995,New York Energy,Chautauqua,LAKESHORE,0,0,NO
1996,03/21/1997,"Universal Resources Holdings, Incorporated",Chautauqua,GERRY-CHARLOTTE,0,0,NO
1980,06/13/1994,"Fairmont Oil Co., Inc.",Allegany,RUSHFORD,9,1,NO
1989,03/12/1990,"Eclipse Management Assoc., Inc",Chautauqua,LAKESHORE,0,0,NO
1991,04/01/1992,TGX Corp.,Erie,EAST AURORA,0,0,NO
1967,09/30/1994,Iroquois Gas Corp.,Wyoming,PAVILION,0,0,NO
1989,01/29/1990,Miller Brewing Co.,Cayuga,WEST AUBURN,0,0,NO
1985,03/26/1986,Empire Energies,Erie,CONCORD,0,0,NO
1985,03/14/1986,Seis-Ex Geophysical Ltd,Steuben,CORNING,0,0,INACTIVE
1994,04/05/1995,U S Energy Development Corp.,Chautauqua,HARMONY,1,0,NO
1996,03/17/1997,"Call Farms, Inc.",Genesee,INDIAN FALLS,0,0,YES
1991,03/25/1992,"Geo Ventures, Inc.",Erie,CONCORD,0,0,YES
1997,03/26/2002,Ginell Oil & Gas Association.,Erie,LAKEVIEW,0,0,NO
1984,07/24/1987,Cylar Oil Co.,Cattaraugus,BRADFORD,4,0,NO
1976,08/24/1994,"Pedestal Oil Co., Inc.",Cattaraugus,CHIPMUNK,28,20,NO
1992,04/28/1993,Alden Central School District,Erie,ALDEN-LANCASTER,0,0,YES
1968,09/30/1994,Iroquois Gas Corp.,Ontario,WEST BLOOMFIELD,0,0,NO
1985,04/22/1986,Mitchell Exploration Corp.,Allegany,UNNAMED,0,0,INACTIVE
1989,04/12/1990,"Chautauqua Energy, Inc.",Chautauqua,LAKESHORE,0,0,NO
1998,02/08/1999,"Plants and Goodwin, Inc.",Allegany,BEECH HILL-INDEPENDENCE,39,15,NO
1997,03/25/1998,United States Gypsum Co.,Genesee,INDIAN FALLS,0,0,NO
1986,01/20/1987,Panama Central School District,Chautauqua,LAKESHORE,0,0,YES
1990,03/06/1991,Gypsum Energy Management Co.,Genesee,DANLEY CORNERS,0,0,NO
1990,03/21/1991,CNG Transmission Corp.,Madison,LEBANON,0,0,NO
1992,03/25/1993,"Rasmussen, Ronnie O.",Seneca,SENECA FALLS,0,0,YES
1985,03/26/1986,U S Energy Development Corp.,Chautauqua,LAKESHORE,0,0,NO
1998,03/31/1999,Belden & Blake Corporation,Chautauqua,GERRY-CHARLOTTE,1,0,NO
1982,06/01/1994,Gypsum Energy Management Co.,Genesee,HURON CREEK,0,0,YES
1992,03/26/1993,"Bockhahn, Wm. G. & Gerard F.",Erie,SARDINIA,0,0,YES
1996,03/07/1997,"Eastern States Energy, Inc.",Erie,LAKEVIEW,0,0,YES
1984,01/18/1985,"Van Dette,  Albert",Chautauqua,,0,0,INACTIVE
1969,10/04/1994,O. Boyce McDivitt,Cattaraugus,BRADFORD,19,11,NO
1981,06/06/1994,"Templeton Energy,  Inc.",Chautauqua,LAKESHORE,0,0,NO
1998,03/22/1999,Seneca Resources Corporation,Erie,NORTH COLLINS,0,0,NO
1992,04/12/1993,Pembroke Central School District,Genesee,HURON CREEK,0,0,YES
1998,03/31/1999,Belden & Blake Corporation,Chautauqua,LAKESHORE,0,0,NO
1980,06/15/1994,Norris Oil Co.,Cattaraugus,CHIPMUNK,6,1,NO
1988,06/28/1989,Annex Oil Co.,Allegany,CLARKSVILLE,0,9,INACTIVE
1973,09/15/1994,"Joyce, Genevieve",Allegany,FULMER VALLEY,5,0,NO
1993,04/05/1994,L. W. Resources,Erie,AKRON,0,0,
1999,03/17/2000,Templeton & Woods,Cattaraugus,BRADFORD,0,1,INACTIVE
1992,04/02/1993,Collins Oil Co.,Allegany,RICHBURG,0,0,YES
1996,03/06/1997,"Vandermark Exploration, Inc.",Steuben,UNNAMED,0,0,INACTIVE
1977,08/15/1994,"Huntington, Barbara A.",Cattaraugus,BRADFORD,25,4,NO
1996,11/04/1997,Avoca Natural Gas Storage,Steuben,,0,0,
1999,03/17/2000,Symbol Oil Corp.,Erie,ELMA,0,0,NO
1998,01/19/1999,Eden Central School District,Erie,BRANT-EDEN,0,0,YES
1979,06/29/1994,A & F Oil Co.,Allegany,RICHBURG,0,40,NO
1989,04/06/1990,Terra Energy,Chautauqua,LAKESHORE,0,0,NO
1998,04/06/1999,L. W. Resources,Erie,BRANT-EDEN,0,0,NO
1986,04/14/1987,Walker Exploration & Production Corp.,Chautauqua,LAKESHORE,0,0,NO
1981,06/06/1994,"Karim, Raja Abdul",Cayuga,BLUE TAIL ROOSTER,0,0,NO
1983,04/19/1984,"Fitzgerald, Thomas J.",Allegany,RICHBURG,0,2,YES
1992,03/30/1993,"Eclipse Management Assoc., Inc",Chautauqua,LAKESHORE,0,0,NO
1986,03/10/1987,Gastec Energy Corp.,Erie,BRANT-EDEN,0,0,NO
1984,01/18/1985,"Eaton, Edward M",Cattaraugus,BRADFORD,0,10,INACTIVE
1996,04/11/1997,"Wierzba, David P.",Erie,BUFFALO CREEK,0,0,NO
1987,05/17/1988,Walker Exploration & Production Corp.,Chautauqua,LAKESHORE,0,0,NO
1984,04/11/1985,Columbia Gas Transmission Corp.,Allegany,SCIO,0,0,YES
1987,03/21/1988,Goldenrod Oil Co.,Cattaraugus,FOUR MILE,0,4,INACTIVE
1994,01/25/1995,"Giras, Daniel F.",Erie,ALDEN-LANCASTER,0,0,YES
1991,02/28/1992,"Boberg, Agnes",Cattaraugus,PIGEON HILL,0,0,YES
1989,04/09/1990,Baker & Odonnell Dev. Co.,Allegany,RICHBURG,0,51,INACTIVE
1988,04/21/1989,Arcata Graphics Buffalo,Erie,ALDEN-LANCASTER,0,0,INACTIVE
1997,03/25/1998,United States Gypsum Co.,Wyoming,DANLEY CORNERS,0,0,NO
1991,03/03/1992,Lackawanna City School District,Erie,WEST SENECA,0,0,YES
1989,03/06/1990,Don-Bess Energy Develop. Co.,Allegany,RICHBURG,3,0,NO
1982,05/27/1994,Seis-Ex Geophysical Ltd,Chautauqua,BUSTI,4,4,NO
1991,03/24/1992,Berea Oil & Gas Corp.,Chautauqua,LAKESHORE,0,0,NO
1996,01/09/1997,"Mayer, Julianne B,",Cattaraugus,CHAFFEE-ARCADE,0,0,YES
1999,04/06/2000,Belden & Blake Corporation,Chautauqua,LAKESHORE,0,0,NO
1977,08/18/1994,National Fuel Gas Supply Corp.,Cattaraugus,,0,0,YES
1986,03/26/1987,"Chautauqua Energy, Inc.",Erie,BRANT-EDEN,0,0,NO
1982,05/24/1994,Midwest Drilling Program 1981-1,Erie,BUFFALO CREEK,0,0,NO
1998,05/20/1999,"Briggs, Diane M. & Stone, Betsy B.",Chautauqua,LAKESHORE,0,0,YES
1983,03/05/1984,"Templeton Energy,  Inc.",Cattaraugus,LAKESHORE,0,0,NO
1993,03/30/1994,"Empire Exploration, Inc.",Chautauqua,LAKESHORE,0,0,NO
1989,03/29/1990,"Bounty Holdings, Incorporated",Chautauqua,LAKESHORE,0,0,NO
1996,03/31/1997,"Geo Ventures, Inc.",Chautauqua,LAKESHORE,0,0,NO
1981,06/07/1994,National Fuel Gas Supply Corp.,Erie,LAKESHORE,0,0,YES
1997,03/25/1998,Eastern American Energy Corp.,Steuben,BIG CREEK,0,0,NO
1983,04/19/1984,Subsea Associates-1982,Erie,BRANT-EDEN,0,0,NO
1995,01/11/1996,Boraldon & Co.,Chautauqua,LAKESHORE,0,0,INACTIVE
1994,03/23/1995,Seneca Resources Corporation,Chautauqua,LAKESHORE,0,0,NO
1988,07/24/1989,NY Conference Association of Seventh-Day Adventist,Cayuga,AUBURN,0,0,YES
1997,02/20/1998,P & G Oil Co.,Allegany,FULMER VALLEY,0,11,INACTIVE
1980,09/28/1994,"Flint Oil & Gas, Inc.",Erie,SARDINIA,0,0,YES
1995,03/29/1996,"Subsea Oil & Gas, Inc.",Erie,BRANT-EDEN,0,0,NO
1990,02/01/1991,"Leader Resources, Inc.",Cayuga,WEST AUBURN,0,0,INACTIVE
1978,07/14/1994,"Java Oil & Gas Co.,  Inc.",Erie,ELMA,0,0,INACTIVE
1977,08/12/1994,Vosburg Oil Co.,Allegany,RICHBURG,89,0,NO
1998,01/29/1999,"Exchange Oil & Gas,  Inc.",Steuben,BEECH HILL-INDEPENDENCE,0,3,INACTIVE
1978,07/11/1994,"Sloan, John",Allegany,BRADFORD,20,1,NO
1982,05/27/1994,"Southwell, Russell  W",Chautauqua,BUSTI,0,0,NO
1979,07/07/1994,National Fuel Gas Supply Corp.,Erie,ALDEN-LANCASTER,0,0,YES
1990,03/29/1991,TGX Corp.,Chautauqua,GERRY-CHARLOTTE,0,0,NO
1987,04/19/1988,"Warner Bros Well Drilling, Inc",Erie,ELMA,0,0,NO
1985,04/08/1986,"Meeder, William H",Wyoming,WYOMING,0,0,INACTIVE
1990,04/05/1991,"Wightman, Gerald",Allegany,RICHBURG,0,0,NO
1996,03/06/1997,"Venture Technology, Inc.",Chautauqua,LAKESHORE,0,0,INACTIVE
1982,05/06/1994,"Jones, Merle R",Allegany,RICHBURG,21,21,NO
1995,03/28/1996,"Chautauqua Energy, Inc.",Chautauqua,LAKESHORE,0,0,NO
1984,01/18/1985,"Buffalo China, Inc.",Erie,WEST SENECA,0,0,INACTIVE
1988,04/07/1989,"Lenape Resources Corp., The",Wyoming,LEICESTER,0,0,NO
1973,09/15/1994,Iroquois Gas Corp.,Chautauqua,,0,0,YES
1993,04/05/1994,"Envirogas, Inc.",Erie,BRANT-EDEN,0,0,
1986,01/30/1987,Blossom Gas Co.,Chautauqua,LAKESHORE,0,0,NO
1981,06/10/1994,Kirby Exploration Co.,Oswego,,0,0,INACTIVE
1991,03/20/1992,Wood Oil Co.,Cattaraugus,BRADFORD,13,3,NO
1997,01/16/1998,"Shattuck, Frank E. & Carol D.",Erie,BRANT-EDEN,0,0,YES
1993,03/15/1994,"Iantorno, Rubens",Allegany,RICHBURG,1,1,NO
1987,03/29/1988,Gugino Greenhouses,Chautauqua,LAKESHORE,0,0,YES
1981,06/10/1994,"SCG Gas Quest, Inc.",Wyoming,,0,0,INACTIVE
1985,01/27/1986,"Eliskim, Inc.",Chautauqua,LAKESHORE,0,0,YES
1997,02/12/1998,"Handy, James R",Erie,ALDEN-LANCASTER,0,0,YES
1995,04/02/1996,21 Pavement of WNY LLC,Erie,ALDEN-LANCASTER,0,0,YES
1998,04/07/1999,Schreiner Oil and Gas Inc.,Chautauqua,LAKESHORE,0,0,NO
