Production Year,Production Date Entered,Operator,County,Field,Active Oil Wells,Inactive Oil Wells,Self-use Well
1983,03/26/1984,"Red Oak Petroleums, Inc.",Cattaraugus,BRADFORD,3,0,NO
1984,04/10/1985,K-Arcy Corp.,Allegany,RICHBURG,6,1,NO
1997,03/31/1998,"Weil Resources, Inc.",Erie,ELMA,0,0,NO
1985,02/12/1986,Bemus Point Central School District,Chautauqua,LAKESHORE,0,0,YES
1991,03/03/1992,"Smith, Wayne P.",Allegany,FARMERSVILLE,0,0,INACTIVE
1989,02/10/1992,Vineyard Oil & Gas Company,Chautauqua,LAKESHORE,0,0,NO
1992,04/09/1993,"Chautauqua Energy, Inc.",Chautauqua,LAKESHORE,0,0,NO
1995,02/02/1996,Frank H. Stephan Oil Group,Cattaraugus,BRADFORD,10,0,NO
1989,03/29/1990,"Bounty Holdings, Incorporated",Chautauqua,LAKESHORE,0,0,NO
1998,03/31/1999,Belden & Blake Corporation,Cattaraugus,UTLEY BROOK,0,0,NO
1980,06/22/1994,Libra Petroleum Company,Chautauqua,BUSTI,66,0,NO
1982,05/26/1994,"Envirogas, Inc.",Chautauqua,,0,0,NO
1980,06/27/1994,Honeoye Storage Corporation,Ontario,HONEOYE,0,0,INACTIVE
1999,02/02/2000,Genesee State Park Region,Oswego,PULASKI,0,0,YES
1990,04/03/1991,Cabot Oil & Gas Corp.,Chautauqua,CLYMER,3,0,NO
1980,06/27/1994,Bennett Petroleum Corp.,Livingston,UNNAMED,0,0,NO
1993,01/21/1994,"Ford, Cregg",Cayuga,WEST AUBURN,0,0,YES
1989,01/25/1990,D. A. Griffin Corp.,Erie,WEST SENECA,0,0,YES
1986,01/23/1987,"Notaro, Sonia",Chautauqua,LAKESHORE,0,0,YES
1998,03/12/1999,"J M Resources, Inc.",Chautauqua,LAKESHORE,0,0,NO
1998,01/19/1999,"Perry, Gerald W",Allegany,BEECH HILL-INDEPENDENCE,0,0,YES
1995,02/29/1996,"Shearing, David H.",Wyoming,LEICESTER,0,0,YES
1981,06/02/1994,"Local Energy, Inc.",Chautauqua,LAKESHORE,0,0,NO
1974,09/07/1994,Ward Oil Company,Allegany,,30,20,NO
1985,04/10/1986,Akron Gas Corp.,Erie,AKRON,0,0,YES
1974,09/08/1994,National Fuel Gas Supply Corp.,Erie,,0,0,YES
1988,03/13/1989,"Harris, William",Genesee,UHLEY CORNERS-CALEDONIA,0,0,YES
1986,03/19/1987,"Abarta Oil & Gas, Inc.",Erie,LAKEVIEW,0,0,NO
1991,04/03/1992,Belden & Blake Corporation,Cattaraugus,BRADFORD,166,0,NO
1994,03/30/1995,Whiting Well Partnership,Erie,ALDEN-LANCASTER,0,0,NO
1972,09/20/1994,"Peterson, JoAnn, Kunn, Nancy/Dutka Estate",Cattaraugus,BRADFORD,9,0,NO
1993,04/27/1994,"Chautauqua Energy, Inc.",Chautauqua,LAKESHORE,0,0,NO
1987,02/29/1988,Gypsum Energy Management Co.,Genesee,INDIAN FALLS,0,0,YES
1992,06/11/1993,"Elcoex, Inc.",Madison,LEBANON,0,0,
1993,03/21/1994,"Chautauqua Natural Gas Co., Inc",Chautauqua,LAKESHORE,0,0,NO
1997,01/15/1998,Pepsi Cola Buffalo Bottling Corp.,Erie,ALDEN-LANCASTER,0,0,YES
1976,08/25/1994,"Flint Oil & Gas, Inc.",Chautauqua,LAKESHORE,0,0,NO
1994,03/22/1995,Norris Oil Co.,Cattaraugus,CHIPMUNK,7,12,NO
1985,01/21/1986,"Granby & Hemenway Gas Co., Inc",Ontario,NAPLES,0,0,YES
1986,04/10/1987,"Allegro Oil & Gas,  Inc.",Steuben,MARSH,0,0,NO
1987,05/17/1988,Walker Exploration & Production Corp.,Cattaraugus,ELLICOTTVILLE,0,0,NO
1986,07/27/1987,"General Mills,Inc./O-Cel-O Division",Erie,TONAWANDA,0,0,INACTIVE
1990,02/07/1991,"Pan Energy Company, Inc.",Genesee,ALDEN-LANCASTER,0,0,NO
1989,10/24/1990,"Heintz Gas & Oil Co., Inc.",Chautauqua,LAKESHORE,0,0,NO
1984,01/17/1985,Permclip Products Corporation,Erie,TONAWANDA,0,0,YES
1998,05/28/1999,Gugino Greenhouses,Chautauqua,LAKESHORE,0,0,YES
1983,02/03/1984,Gypsum Energy Management Co.,Genesee,HURON CREEK,0,0,YES
1998,03/10/1999,Dominion Energy Corp.,Erie,ORCHARD PARK-HAMBURG,0,0,NO
1988,03/30/1989,"Eastern States Energy, Inc.",Erie,CONCORD,0,0,NO
1982,05/24/1994,"American Penn Energy,  Inc.",Erie,BRANT-EDEN,0,0,NO
1986,01/27/1987,"Morse, Theodore S",Chautauqua,LAKESHORE,0,0,YES
1988,03/30/1989,"Arrowhead Resources, Inc.",Cattaraugus,ASHFORD,0,0,NO
