Production Year,Production Date Entered,Operator,County,Field,Active Oil Wells,Inactive Oil Wells,Self-use Well
1981,06/01/1994,"Doran & Associates, Inc.",Chautauqua,,0,0,NO
1995,04/01/1996,Lomak Operating Company,Chautauqua,LAKESHORE,0,0,NO
1986,01/28/1987,Estate of Donald Vanstrom,Chautauqua,LAKESHORE,0,0,YES
1986,03/27/1987,"Templeton Energy,  Inc.",Chautauqua,LAKESHORE,0,0,NO
1980,09/28/1994,Banks Gas Drilling Co.,Chautauqua,LAKESHORE,0,0,
1995,03/29/1996,"Petri Baking Products, Inc.",Chautauqua,LAKESHORE,0,0,YES
1996,03/31/1997,Wyckoff Development Co.,Steuben,WYCKOFF,0,0,NO
1995,04/02/1996,"Cotton Well Drilling Company,  Inc.",Chautauqua,LAKESHORE,0,0,NO
1986,04/10/1987,Columbia Gas Transmission Corp.,Chautauqua,CLYMER,1,0,YES
1972,09/20/1994,Far Away Estates Associates,Erie,LAKEVIEW,0,0,NO
1995,03/25/1996,"Gier's Farm Service, Inc.",Chautauqua,LAKESHORE,0,0,YES
1990,03/10/1991,Sisters of St. Joseph,Erie,ALDEN-LANCASTER,0,0,YES
1981,06/01/1994,"Desert Gas Exploration, Inc.",Chautauqua,LAKESHORE,0,0,NO
1974,09/07/1994,"O'Connor, James M.",Allegany,RICHBURG,12,0,NO
1990,04/01/1991,U S Energy Development Corp.,Chautauqua,LAKESHORE,0,0,NO
1985,03/03/1986,"Chautauqua Energy, Inc.",Chautauqua,NORTH HARMONY,1,0,NO
1990,03/06/1991,Gypsum Energy Management Co.,Wyoming,SHELDON,0,0,NO
1991,01/14/1992,A & F Oil Co.,Allegany,RICHBURG,0,43,INACTIVE
1999,03/14/2000,"J M Resources, Inc.",Chautauqua,LAKESHORE,0,0,NO
1991,11/17/1992,"Engx, Inc.",Chautauqua,LAKESHORE,0,0,NO
1975,08/31/1994,"Morse, Theodore S",Chautauqua,LAKESHORE,0,0,INACTIVE
1996,04/09/1997,Altimus & Associates,Allegany,RICHBURG,12,6,NO
1975,08/31/1994,Weaver Gas Well Management,Genesee,PAVILION,0,0,NO
1970,09/29/1994,Bradley Producing Corp.,Ontario,EAST BLOOMFIELD,0,0,NO
1983,04/23/1984,Fea Gas Co.,Chautauqua,LAKESHORE,0,0,NO
1995,02/15/1996,"Desert Gas Exploration, Inc.",Chautauqua,LAKESHORE,0,0,NO
1991,01/14/1992,"Everman, Henry G",Livingston,DANSVILLE,0,0,YES
1981,06/08/1994,Trison Petroleum Corp.,Erie,WEST SENECA,0,0,NO
1991,04/03/1992,"Torrey, Richard",Cattaraugus,BRADFORD,23,0,NO
1983,04/23/1984,"Lenape Resources Corp., The",Chautauqua,ELLERY,0,0,INACTIVE
1985,04/11/1986,"Envirogas, Inc.",Chautauqua,LAKESHORE,0,0,NO
1979,07/06/1994,Arcata Graphics Buffalo,Erie,ALDEN-LANCASTER,0,0,YES
1991,03/09/1992,Flanigan Brothers,Cattaraugus,FIVE MILE,0,0,INACTIVE
1986,11/30/1987,Big Tree Energy Partners,Wyoming,,0,0,
1999,06/19/2000,"Earsing, Mary E.",Erie,ALDEN-LANCASTER,0,0,NO
1986,04/13/1987,"Forrestel, Richard E",Erie,AKRON,0,0,YES
1979,06/29/1994,Pratt Oil Co.,Allegany,ALMA,40,28,NO
1970,09/29/1994,Bucher Brothers,Cattaraugus,BRADFORD,47,16,NO
1992,04/28/1993,Sisters of St. Joseph,Erie,ALDEN-LANCASTER,0,0,YES
1985,03/06/1986,"Taylor, Mrs. C. Nell",Allegany,RICHBURG,5,0,NO
1988,04/07/1989,"Vandermark Exploration, Inc.",Allegany,RICHBURG,0,0,NO
1987,02/29/1988,Waste Water Treatment Plant,Chautauqua,LAKESHORE,0,0,YES
1989,03/12/1990,"Trahan Petroleum, Inc.",Chautauqua,LAKESHORE,0,0,NO
1997,04/07/1998,Eclipse Gas Drilling No 2,Erie,AKRON,0,0,NO
1998,02/08/1999,"Balcerzak, Mr. & Mrs. Raymond  R., Sr.",Erie,COWLESVILLE,0,0,YES
1997,04/08/1998,"Gier's Farm Service, Inc.",Chautauqua,LAKESHORE,0,0,YES
1993,03/31/1994,National Fuel Gas Supply Corp.,Allegany,STATE LINE,0,0,NO
1983,04/24/1984,"Ebenezer Oil Co., Inc.",Allegany,RICHBURG,13,0,NO
1988,04/05/1989,J & L Oil & Gas Corp.,Chautauqua,LAKESHORE,0,0,NO
1994,05/16/1995,J. J. Bucher Producing Corporation,Allegany,RICHBURG,40,3,NO
1982,05/31/1994,Kinley Oil & Gas Corp.,Cattaraugus,BRADFORD,99,1,NO
1991,04/01/1992,TGX Corp.,Erie,ORCHARD PARK-HAMBURG,0,0,NO
1984,04/15/1985,"Sharon Resources, Inc.",Wyoming,SHELDON,0,0,NO
1988,03/30/1989,Clover Oil & Gas Co.,Genesee,ALDEN-LANCASTER,0,0,NO
1988,03/13/1989,"Ebenezer Oil Co., Inc.",Steuben,ANDOVER,3,0,NO
1995,02/22/1996,"Cooper, Elton C",Allegany,FULMER VALLEY,0,16,INACTIVE
1980,06/27/1994,National Fuel Gas Supply Corp.,Erie,ORCHARD PARK-HAMBURG,0,0,YES
1987,03/22/1988,"Lenape Resources Corp., The",Chautauqua,ELLERY,8,10,NO
1992,06/09/1993,M. J. McCaffery Oil Co.,Cattaraugus,CHIPMUNK,39,7,NO
1994,03/22/1995,"Weil Resources, Inc.",Cattaraugus,LAKESHORE,0,0,NO
1984,04/10/1985,"Chautauqua Energy, Inc.",Chautauqua,LAKESHORE,0,0,NO
1982,05/25/1994,"Sinclairville Petroleum, Inc.",Erie,EAST AURORA,0,0,NO
1998,01/29/1999,"Exchange Oil & Gas,  Inc.",Steuben,BEECH HILL-INDEPENDENCE,0,3,INACTIVE
1985,03/24/1986,"GFS Energy, Inc.",Genesee,ALDEN-LANCASTER,0,0,NO
1992,04/19/1993,"Barnes, Gertrude",Cattaraugus,BRADFORD,0,1,INACTIVE
1979,06/29/1994,"Warner , Charles L.",Allegany,RICHBURG,2,26,NO
1988,03/31/1989,TGX Corp.,Erie,ALDEN-LANCASTER,0,0,NO
1986,03/19/1987,Flo-Penn Properties,Chautauqua,BUSTI,0,1,INACTIVE
1998,02/08/1999,"Zimmerman, Aaron W.",Yates,SOUTH PENN YAN,0,0,YES
1990,02/28/1991,"Clark, Bruce N.",Allegany,FULMER VALLEY,9,0,NO
1975,03/21/1997,Auburn Country Club,Cayuga,UNNAMED,0,0,INACTIVE
1983,05/22/1984,Mitchell Exploration Corp.,Allegany,UNNAMED,0,0,INACTIVE
1993,01/21/1994,"Growers Coop Grape Juice Co.,  Inc",Chautauqua,LAKESHORE,0,0,YES
1998,04/02/1999,Perry Energy II,Wyoming,SILVER LAKE,0,0,NO
1999,04/04/2000,CEI 1990-1 Joint Venture,Chautauqua,LAKESHORE,0,0,NO
1994,01/31/1995,"Spontaneo, Rodd E.",Chautauqua,LAKESHORE,0,0,YES
1977,08/18/1994,"Resource Exploration, Inc.",Chautauqua,LAKESHORE,0,0,NO
1967,10/07/1994,Willets & Paul Corp.,Allegany,RICHBURG,35,26,NO
1983,02/03/1984,Gypsum Energy Management Co.,Genesee,INDIAN FALLS,0,0,YES
1986,01/23/1987,Energy Production Co.,Cattaraugus,FOUR MILE,1,0,NO
1998,04/01/1999,"Ardent Resources, Inc.",Erie,CONCORD,0,0,NO
1994,04/05/1995,"Frey Well Drilling, Inc.",Erie,BUFFALO CREEK,0,0,INACTIVE
1984,04/12/1985,"Energy Oil, Inc.",Erie,ORCHARD PARK-HAMBURG,0,0,NO
1986,04/13/1987,U S Energy Development Corp.,Chautauqua,LAKESHORE,0,0,NO
1995,04/02/1996,Shawnee Operating Co.,Erie,BRANT-EDEN,0,0,NO
1989,03/12/1990,Norris Oil Co.,Cattaraugus,BRADFORD,19,0,NO
1997,02/20/1998,P & G Oil Co.,Allegany,FULMER VALLEY,0,11,INACTIVE
1996,03/26/2002,Ginell Oil & Gas Association.,Erie,LAKEVIEW,0,0,INACTIVE
1981,06/06/1994,"Briggs, Courtland M.",Erie,ELMA,0,0,NO
1987,04/19/1988,Cumberland Oil Corp.,Chautauqua,LAKESHORE,0,0,NO
1986,04/17/1987,Goldenrod Oil Co.,Cattaraugus,FOUR MILE,0,4,INACTIVE
1996,02/26/1997,"Rasmussen, Ronnie O.",Seneca,FAYETTE-WATERLOO,0,0,NO
1990,03/10/1991,Strippit Inc.,Erie,ALDEN-LANCASTER,0,0,YES
1972,09/20/1994,Riggs J. & Colden K.,Allegany,,21,0,NO
1995,10/18/1996,"Jackson, Sharon E.",Wyoming,PIKE CORNERS,0,0,YES
1982,05/06/1994,"Harriger, Signe",Allegany,RICHBURG,15,0,NO
1989,04/10/1990,Cliffstar Corp.,Chautauqua,LAKESHORE,0,0,YES
1987,07/12/1988,McO.Resources Corp.,Ontario,EAST BLOOMFIELD,0,0,INACTIVE
1988,03/30/1989,"Reserve Gas Company, Inc.",Genesee,ALDEN-LANCASTER,0,0,NO
1968,10/05/1994,Willets & Paul Corp.,Allegany,RICHBURG,50,9,NO
1975,08/31/1994,"Vaughn, Duane",Cattaraugus,,8,0,NO
1985,03/26/1986,U S Energy Development Corp.,Chautauqua,LAKESHORE,0,0,NO
1975,08/30/1994,Vulcan Oil Co,Allegany,,8,0,NO
1991,02/11/1992,Pennsylvania General Energy,Cattaraugus,BRADFORD,258,0,NO
1993,03/18/1994,A. J. Lease Account,Cattaraugus,FIVE MILE,2,0,NO
1988,05/01/1989,C & G Oil Co.,Allegany,RICHBURG,2,0,NO
1993,08/23/1994,TGX Corp.,Erie,BRANT-EDEN,0,0,NO
1974,09/08/1994,"Vaughn, Duane",Cattaraugus,,6,0,NO
1972,09/20/1994,Casson & White,Allegany,,0,7,
1993,04/12/1994,"GFS Energy, Inc.",Erie,ELMA,0,0,INACTIVE
1989,04/10/1990,"Lyndon Oil Co.,Inc.",Cattaraugus,BRADFORD,8,0,NO
1981,06/09/1994,Aurora Gas Drilling Associates,Genesee,ALDEN-LANCASTER,0,0,NO
1996,08/20/1997,"Davidson, Andrew & Dorothy",Chautauqua,LAKESHORE,0,0,YES
1983,04/09/1984,Pratt Oil Co.,Allegany,ALMA,40,30,NO
1986,04/10/1987,"Lenape Resources Corp., The",Livingston,UHLEY CORNERS-CALEDONIA,0,0,NO
1998,02/01/1999,"Linn, Conrad W. Jr.",Cattaraugus,BRADFORD,5,0,NO
1993,02/28/1994,"Pan Energy Company, Inc.",Erie,LAKEVIEW,0,0,NO
1978,07/14/1994,National Fuel Gas Supply Corp.,Erie,NORTH COLLINS,0,0,YES
1996,01/22/1997,"Brown, Maude S.",Allegany,RICHBURG,0,1,INACTIVE
1982,05/06/1994,"Ford, Herald",Allegany,FULMER VALLEY,2,0,NO
1986,03/10/1987,National Fuel Gas Supply Corp.,Chautauqua,LAKESHORE,0,0,YES
1986,03/26/1987,"Templeton Energy,  Inc.",Chautauqua,LAKESHORE,0,0,NO
1981,06/02/1994,Estate of Edward Eckstrom,Chautauqua,BUSTI,1,0,NO
1988,04/12/1989,"Chautauqua Energy, Inc.",Chautauqua,CLYMER,0,0,NO
1975,08/31/1994,Universal Major Ind. Corp.,Wyoming,WYOMING,0,0,NO
1984,04/15/1985,"Envirogas, Inc.",Cattaraugus,DAYTON,0,0,INACTIVE
1989,01/25/1990,"Irving-Bay Energy Co., Inc",Erie,EAST AURORA,0,0,NO
1975,08/31/1994,"NRG Resources, Inc.",Steuben,,0,0,INACTIVE
1991,03/25/1992,Empire Energies,Erie,BRANT-EDEN,0,0,NO
1991,02/10/1992,"F & G Exploration, LLC",Cayuga,WEST AUBURN,0,0,NO
1993,02/08/1994,"Fords Brook, Inc.",Allegany,RICHBURG,0,4,INACTIVE
1987,02/29/1988,"Trahan Petroleum, Inc.",Chautauqua,LAKESHORE,0,0,NO
1986,03/27/1987,"Templeton Energy,  Inc.",Chautauqua,LAKESHORE,0,0,NO
1970,09/28/1994,"Jones, Merle R",Allegany,RICHBURG,35,6,NO
1994,03/31/1995,"McCool, John E.",Chautauqua,LAKESHORE,0,0,NO
1990,01/28/1991,"Gerry Homes, Inc., The",Chautauqua,LAKESHORE,0,0,INACTIVE
1996,03/28/1997,Seneca Resources Corporation,Erie,ELMA,0,0,YES
1985,02/28/1986,NYS Natural Gas Co.,Chautauqua,LAKESHORE,0,0,NO
1995,04/03/1996,National Fuel Gas Supply Corp.,Allegany,STATE LINE,0,0,INACTIVE
1986,03/27/1987,"Templeton Energy,  Inc.",Erie,LAKEVIEW,0,0,NO
1990,04/05/1991,"Chautauqua Energy, Inc.",Chautauqua,LAKESHORE,0,0,NO
1983,03/05/1984,"Templeton Energy,  Inc.",Chautauqua,LAKESHORE,0,0,NO
1995,01/17/1996,"Hickey, Kevin F. & Mary",Erie,ALDEN-LANCASTER,0,0,YES
1995,03/28/1996,"Wightman, Gerald",Allegany,RICHBURG,11,0,NO
1993,02/16/1994,"Ford, Herald",Allegany,BEECH HILL-INDEPENDENCE,1,0,NO
1985,03/26/1986,"O'Shanter Resources,  Inc.",Cattaraugus,BRADFORD,9,0,NO
1999,03/24/2000,"Subsea Oil & Gas, Inc.",Erie,ALDEN-LANCASTER,0,0,NO
1999,03/22/2000,"Otis Eastern Service, Inc.",Allegany,ANDOVER,0,0,NO
1994,02/28/1995,"Trahan Petroleum, Inc.",Chautauqua,LAKESHORE,0,0,NO
1996,05/07/1998,"Kwilos, Stanley",Erie,LAKEVIEW,0,0,YES
1998,04/08/1999,B & H Oil Co.,Allegany,RICHBURG,1,0,NO
1992,03/30/1993,"Firth, Robert H",Chautauqua,LAKESHORE,0,0,YES
1988,03/31/1989,TGX Corp.,Erie,SARDINIA,0,0,NO
1998,03/23/1999,"Cotton Well Drilling Company,  Inc.",Erie,NORTH COLLINS,0,0,NO
1989,03/01/1990,"Campbell, Mott",Allegany,RICHBURG,0,10,INACTIVE
1999,02/23/2000,"Pero Farms, Inc.",Erie,BRANT-EDEN,0,0,YES
1994,01/31/1995,"Sescil, Douglas W.",Erie,ALDEN-LANCASTER,0,0,YES
1980,06/15/1994,"Sprague, Edward Jr",Cattaraugus,PERRYSBURG,0,0,INACTIVE
1999,04/05/2000,"Trahan Petroleum, Inc.",Chautauqua,LAKESHORE,0,0,NO
1978,07/13/1994,"Paragon Resources, Inc.",Chautauqua,LAKESHORE,0,0,NO
1995,04/17/1996,"Bkg Truck Repair, LLC",Cattaraugus,HOTCHKISS HOLLOW,0,0,INACTIVE
1984,06/26/1985,"Smith, Wayne P.",Allegany,,0,0,INACTIVE
1990,04/01/1991,Columbia Natural Resources  LLC,Livingston,SILVER LAKE,0,0,NO
1988,04/12/1989,"Chautauqua Energy, Inc.",Chautauqua,LAKESHORE,0,0,NO
1996,02/10/1997,Estate of Joseph Villlafrank,Chautauqua,LAKESHORE,0,0,NO
1974,09/08/1994,National Fuel Gas Supply Corp.,Erie,WEST SENECA,0,0,YES
1992,04/07/1993,"Linn, Conrad W. Jr.",Cattaraugus,BRADFORD,5,0,NO
1986,03/10/1987,National Fuel Gas Supply Corp.,Erie,ORCHARD PARK-HAMBURG,0,0,YES
1996,03/28/1997,Seneca Resources Corporation,Ontario,VINCENT,0,0,NO
1984,04/15/1985,Quaker State Corp.,Cattaraugus,BRADFORD,221,0,YES
1975,08/31/1994,"Dedrick, Douglas",Erie,EAST AURORA,0,0,NO
1990,01/24/1991,Tipperary Oil & Gas Corp.,Oswego,BASS LAKE,0,0,INACTIVE
1986,04/10/1987,"Lenape Resources Corp., The",Genesee,UHLEY CORNERS-CALEDONIA,0,0,NO
1989,03/29/1990,Empire Energies,Erie,CONCORD,0,0,NO
1991,03/31/1992,"Proma, Ltd.",Erie,ORCHARD PARK-HAMBURG,0,0,NO
1999,03/23/2000,Fault Line Oil Corporation,Cattaraugus,ASHFORD,0,0,NO
1995,03/18/1996,"Crump, Howard E. & Dianne",Chautauqua,LAKESHORE,0,0,YES
1994,01/31/1995,"Yonker, Gary J. & Rosemary A.",Chautauqua,LAKESHORE,0,0,YES
1993,04/08/1994,Altimus & Associates,Chautauqua,LAKESHORE,0,0,NO
1982,05/31/1994,Miller Oil Co.,Cattaraugus,BRADFORD,0,0,NO
1985,03/26/1986,Pennzoil Products Co.,Cattaraugus,BRADFORD,0,58,NO
1982,05/24/1994,National Fuel Gas Supply Corp.,Erie,ZOAR,0,0,YES
1993,03/09/1994,"Crossley, Robert L",Chautauqua,MUD CREEK,0,0,YES
1983,02/02/1984,Perry Gas Co.,Wyoming,LEICESTER,0,0,INACTIVE
1985,03/03/1986,"Midwest Exploration, Inc.",Erie,BRANT-EDEN,0,0,NO
1993,03/17/1994,"Subsea Oil & Gas, Inc.",Erie,BRANT-EDEN,0,0,NO
1996,01/08/1998,"Shattuck, Frank E. & Carol D.",Erie,BRANT-EDEN,0,0,YES
1999,04/06/2000,Belden & Blake Corporation,Chautauqua,GERRY-CHARLOTTE,4,0,NO
1990,04/01/1991,Oilmark & Co.,Chautauqua,LAKESHORE,0,0,NO
1994,03/30/1995,"Desert Gas Exploration, Inc.",Chautauqua,LAKESHORE,0,0,NO
1997,03/20/1998,"Subsea Oil & Gas, Inc.",Erie,ELMA,0,0,NO
1989,03/12/1990,"Copper Ridge Oil, Inc.",Cattaraugus,FIVE MILE,16,0,NO
1984,04/12/1985,National Fuel Gas Supply Corp.,Steuben,WYCKOFF,0,0,INACTIVE
1997,04/01/1998,Seneca Resources Corporation,Allegany,STATE LINE,1,0,NO
1985,03/26/1986,Ladd Petroleum Corp.,Allegany,GORDON BROOK,0,0,NO
1999,03/23/2000,Erie County Water Authority,Erie,LAKEVIEW,0,0,YES
1990,04/10/1991,"Engx, Inc.",Chautauqua,LAKESHORE,0,0,NO
1984,04/15/1985,"GFS Energy, Inc.",Genesee,ALDEN-LANCASTER,0,0,INACTIVE
1995,04/11/1996,"Pefley Oil & Gas, Inc.",Chautauqua,CLYMER HILL,1,0,NO
1996,01/22/1997,"Rogers, Effie",Ontario,VINCENT,0,0,YES
1987,04/19/1988,"Sunrise Resources,  Inc.",Chautauqua,LAKESHORE,0,0,NO
1982,05/26/1994,"Envirogas, Inc.",Chautauqua,,0,0,NO
1985,04/11/1986,"Envirogas, Inc.",Chautauqua,LAKESHORE,0,0,NO
1971,09/23/1994,"Bunnell, Herbert F.",Allegany,RICHBURG,123,7,NO
1987,02/29/1988,Birch Run Putt Farm,Cattaraugus,BRADFORD,1,2,NO
1983,03/26/1984,Troy Pipe & Supply Co.,Chautauqua,LAKESHORE,0,0,NO
1983,04/23/1984,Go Gas Drilling Co.,Chautauqua,LAKESHORE,0,0,NO
1996,03/06/1997,"Vandermark Exploration, Inc.",Allegany,GORDON BROOK,0,0,NO
1996,04/07/1997,"Pefley Oil & Gas, Inc.",Erie,ORCHARD PARK-HAMBURG,0,0,NO
1986,02/19/1987,21 West Green Street Associates,Chautauqua,LAKESHORE,0,0,NO
1988,04/04/1989,National Fuel Gas Supply Corp.,Genesee,ALDEN-LANCASTER,0,0,NO
1992,04/19/1993,Cabot Oil & Gas Corp.,Cattaraugus,LAKESHORE,0,0,NO
1998,03/26/1999,"Weil Resources, Inc.",Erie,BUFFALO CREEK,0,0,NO
1989,04/10/1990,Oilmark & Co.,Chautauqua,LAKESHORE,0,0,
1980,06/15/1994,"Chautauqua Natural Gas Co., Inc",Chautauqua,LAKESHORE,0,0,NO
1986,04/13/1987,Interco Energy Development Corp,Cattaraugus,CHAFFEE-ARCADE,0,0,NO
1977,08/10/1994,"Hungerford, Thomas E.",Allegany,RICHBURG,0,0,NO
1992,03/25/1993,"Wojcik, Anthony",Erie,ALDEN-LANCASTER,0,0,YES
1998,04/02/1999,Perry Energy III,Livingston,SILVER LAKE,0,0,NO
1991,03/19/1992,"Meter, Erin L. & William J.",Livingston,DANSVILLE,0,0,YES
1985,01/31/1986,"Jennings, Earl",Allegany,RICHBURG,15,0,NO
1994,03/14/1995,Fea Gas Co.,Chautauqua,LAKESHORE,0,0,NO
1971,09/29/1994,Iroquois Gas Corp.,Ontario,WEST BLOOMFIELD,0,0,NO
1994,03/27/1995,"Matrix Energy Development, Inc.",Erie,BUFFALO CREEK,0,0,NO
1984,06/06/1985,"Wasson, Lisa J.",Livingston,,0,0,YES
1995,03/01/1996,"Peterson, JoAnn, Kunn, Nancy/Dutka Estate",Cattaraugus,BRADFORD,7,0,NO
1982,05/26/1994,"Local Energy, Inc.",Chautauqua,LAKESHORE,0,0,NO
1977,08/10/1994,"Ebenezer Oil Co., Inc.",Allegany,RICHBURG,55,0,NO
1992,06/10/1993,Baker & Odonnell Dev. Co.,Allegany,FORD'S BROOK,0,28,NO
1991,03/27/1992,"Local Energy, Inc.",Erie,ELMA,0,0,NO
1998,02/23/1999,"Dudar, John",Allegany,RICHBURG,0,2,INACTIVE
1995,04/03/1996,National Fuel Gas Supply Corp.,Chautauqua,LAKESHORE,0,0,INACTIVE
1982,05/26/1994,Libra Petroleum Company,Chautauqua,BUSTI,0,0,NO
1972,09/21/1994,"Edwards, Nathan B Jr",Steuben,BEECH HILL-INDEPENDENCE,8,0,NO
1999,03/31/2000,Seneca Resources Corporation,Ontario,WEST BLOOMFIELD,0,0,NO
1972,09/20/1994,"Hopkins, Angela",Allegany,RICHBURG,5,1,NO
1987,07/01/1988,Moore Producing Co.,Allegany,RICHBURG,13,88,NO
1982,05/17/1994,"Everman, Daisy S",Livingston,DANSVILLE,0,0,YES
1993,05/24/1994,"Energy Control Unlimited, Inc.",Erie,BRANT-EDEN,0,0,NO
1990,02/01/1991,"Leader Resources, Inc.",Cayuga,WEST AUBURN,0,0,INACTIVE
1985,02/12/1986,Blossom Gas Co.,Chautauqua,LAKESHORE,0,0,NO
1983,03/06/1984,National Fuel Gas Supply Corp.,Erie,ORCHARD PARK-HAMBURG,0,0,YES
